Waktu;Uang Kartal;Uang Giral;Jumlah (M1);Uang Kuasi;Surat Berharga Selain Saham;Jumlah (M2)
Jan-15;391255.50;526823.99;918079.49;3233880.64;22865.77;4174825.91
Feb-15;387889.28;539958.25;927847.53;3278944.55;11330.68;4218122.76
Mar-15;382004.92;575575.54;957580.46;3275498.61;13282.12;4246361.19
Apr-15;395686.64;563689.82;959376.46;3302203.60;14131.06;4275711.11
Mei-15;406499.02;574416.28;980915.30;3293146.51;14307.45;4288369.26
Jun-15;409713.13;629804.84;1039517.98;3305640.77;13642.77;4358801.51
Jul-15;431459.90;600445.93;1031905.82;3325908.12;15394.15;4373208.10
Agu-15;423101.29;603221.62;1026322.91;3362147.57;15614.55;4404085.03
Sep-15;428860.24;634178.47;1063038.71;3426343.21;19221.25;4508603.17
Okt-15;435065.11;601245.57;1036310.68;3391259.66;15507.75;4443078.08
Nov-15;437756.20;613434.53;1051190.74;3386209.23;14924.68;4452324.65
Des-15;469534.21;585905.61;1055439.82;3479961.39;13399.06;4548800.27
Jan-16;439871.75;606385.47;1046257.23;3436491.53;15612.52;4498361.28
Feb-16;422149.44;613401.24;1035550.68;3473032.74;13367.78;4521951.20
Mar-16;420213.60;644524.29;1064737.89;3483693.59;13441.04;4561872.52
Apr-16;435295.81;653916.39;1089212.20;3479713.44;12952.23;4581877.87
Mei-16;440659.81;678108.44;1118768.26;3483441.77;11851.79;4614061.82
Jun-16;511294.54;673034.38;1184328.91;3539326.36;13795.95;4737451.23
Jul-16;474245.90;670254.93;1144500.83;3573996.94;11881.91;4730379.68
Agu-16;466501.59;669046.60;1135548.18;3596408.05;14070.45;4746026.68
Sep-16;469541.70;656504.34;1126046.04;3599248.32;12336.40;4737630.76
Okt-16;467318.21;675467.60;1142785.81;3622679.23;13013.85;4778478.89
Nov-16;476850.39;705879.50;1182729.89;3671427.29;14493.97;4868651.16
Des-16;508123.74;729518.83;1237642.57;3753809.13;13525.09;5004976.79
Jan-17;470250.25;721249.44;1191499.69;3731092.96;14289.33;4936881.99
Feb-17;462412.91;733623.71;1196036.61;3732698.82;14184.33;4942919.76
Mar-17;468941.88;746914.80;1215856.68;3783892.52;17894.35;5017643.55
Apr-17;483042.03;762885.36;1245927.39;3771123.85;16729.05;5033780.29
Mei-17;485123.85;790768.64;1275892.50;3832520.28;16971.01;5125383.79
Jun-17;561820.83;780030.43;1341851.26;3866025.07;17289.43;5225165.76
Jul-17;517809.72;775425.12;1293234.84;3866730.72;18113.19;5178078.75
Agu-17;527097.79;747705.47;1274803.26;3925676.92;19167.46;5219647.63
Sep-17;523359.53;781014.30;1304373.83;3930658.85;19105.83;5254138.51
Okt-17;519861.42;805900.92;1325762.33;3939212.40;19345.43;5284320.16
Nov-17;537297.62;800845.71;1338143.33;3964506.66;18781.78;5321431.77
Des-17;586576.33;804230.62;1390806.95;4009995.84;18362.25;5419165.05
Jan-18;532131.48;794610.51;1326741.99;4006565.08;18377.60;5351684.67
Feb-18;531209.28;820048.72;1351258;3983462.85;16929.47;5351650.33
Mar-18;549216.35;811919.13;1361135.48;4018929.30;15761.26;5395826.04
Apr-18;549587.19;822988.96;1372576.15;4020982.22;15530.45;5409088.81
Mei-18;580625.14;824001.95;1404627.09;4015794.48;14661.37;5435082.93
Jun-18;605972.86;846381.59;1452354.45;4066586.26;15209.12;5534149.83
Jul-18;583305.87;800196.75;1383502.62;4107207.50;17081.62;5507791.75
Agu-18;587788.32;796476.53;1384264.85;4128708.40;16478.55;5529451.81
Sep-18;590804.87;820867.78;1411672.64;4177275.85;17831.40;5606779.89
Okt-18;581591.77;828985.83;1410577.60;4237683.56;19250.94;5667512.10
Nov-18;586235.77;819028.07;1405263.84;4246310.07;19401.33;5670975.24
Des-18;625370.48;831779.20;1457149.68;4282363.78;20532.73;5760046.20
Jan-19;579294;796842;1376136;4248576;20273;5644985
Feb-19;570435;815894;1386329;4264672;19776;5670778
Mar-19;585579;843027;1428607;4299148;19492;5747247
Apr-19;592935;861343;1454279;4272092;20362;5746732
Mei-19;675635;832405;1508040;4334710;17758;5860509
Jun-19;625354;888166;1513520;4379037;15953;5908509
Jul-19;619652;868149;1487802;4435433;17898;5941133
Agu-19;622452;853092;1475544;4435064;23953;5934562
Sep-19;614231;949371;1563602;4540893;29683;6134178
Okt-19;611081;893075;1504156;4497071;25681;6026908
Nov-19;622384;930751;1553134;4495761;25482;6074377
Des-19;654683;910675;1565358;4545213;25981;6136552
Jan-20;616129;868273;1484403;4535529;26719;6046651
Feb-20;607961;897529;1505491;4584358;26646;6116495
Mar-20;620353.24;1028328.10;1648681.33;4763597.98;28178.08;6440457.39
Apr-20;634149;942253;1576401;4637301;24564;6238267
Mei-20;685044.47;968566.16;1653610.64;4790161.32;24421.55;6468193.50
Jun-20;651818;985932.66;1637750.66;4735028.21;20964.93;6393743.80
Jul-20;668108.23;1015085.40;1683193.63;4865764.18;18767.21;6567725.02
Agu-20;661167.53;1098471.48;1759639.02;4947017.22;19479.01;6726135.25
Sep-20;674441.24;1106280.18;1780721.41;4946507.19;21345.42;6748574.03
Okt-20;707853.82;1074390.40;1782244.23;4976024.24;22576.08;6780844.54
Nov-20;712635.88;1086451.39;1799087.27;4994353.32;24016.08;6817456.68
Des-20;760044.64;1095580.15;1855624.80;5021204.88;23219.81;6900049.49
